Account Number,Customer_ID,Transaction_Amount,Transaction_Type,Transaction_Time,Transaction_Date,Customer_Age,Customer_Gender,Account_Type,Account_Age,Avg_Transaction_Amount,Past_Fraud_Count,Device_Type,OS,Browser,Is_Trusted_Device,Transaction_City,Transaction_State,Transaction_Country,Known_Location,Transaction_Frequency,High_Amount_Deviation,Multiple_Devices_Used,Transaction_At_Odd_Hours,Merchant_Category,Is_High_Risk_Merchant,Is_Fraud,Transaction_Timestamp,IP_Address_New,New_Latitude,New_Longitude
100010,111,2.08,Payment,Afternoon,Weekday,32,Male,Savings,8,107.39,4,Laptop,Android,Chrome,1,North Barbaraburgh,MO,Pitcairn Islands,0,10,0,1,1,Grocery,1,0,25-03-2024 18:38,152.187.0.90,-22.535324,7.581979
100011,112,350.36,Withdrawal,Night,Weekend,24,Female,Savings,16,267.72,2,Tablet,Windows,Chrome,1,Lake Teresa,TX,Micronesia,1,5,0,1,0,Clothing,0,1,23-03-2024 17:26,104.5.3.40,0.989784,-75.670294
100012,113,178.64,Transfer,Evening,Holiday,30,Female,Savings,13,140.56,1,Mobile,iOS,Safari,0,North Benjamin,MI,Tanzania,0,14,1,1,1,Restaurant,1,1,29-03-2024 03:06,107.248.220.136,61.122092,155.942871
100013,114,23.87,Withdrawal,Evening,Holiday,59,Female,Checking,13,365.79,1,Tablet,Android,Safari,1,Kimberlyton,MD,Slovakia (Slovak Republic),0,5,0,0,0,Clothing,0,0,29-03-2024 07:14,13.206.236.164,87.870234,-77.911216
100014,115,20.07,Transfer,Evening,Weekday,53,Female,Checking,11,226.26,0,Mobile,Windows,Safari,0,Whiteshire,CA,Afghanistan,1,6,1,0,1,Restaurant,0,0,25-03-2024 18:44,112.52.225.240,-12.255048,48.442524
100015,116,20.26,Payment,Afternoon,Weekday,33,Male,Savings,4,341.81,4,Laptop,Windows,Edge,0,Garciamouth,MD,Iran,1,3,1,0,0,Restaurant,1,0,25-03-2024 06:08,89.12.141.166,63.967713,149.843158
100016,117,36.28,Deposit,Morning,Weekend,58,Male,Savings,4,202.29,4,Laptop,Linux,Chrome,0,Port Lauren,WA,Guatemala,0,2,0,1,0,Travel,0,0,23-03-2024 00:45,164.104.202.65,-71.665633,-23.233312
100017,118,74.39,Deposit,Morning,Weekend,38,Male,Business,15,304.05,2,Laptop,Android,Edge,0,East Ashley,OK,Cameroon,1,13,0,0,1,Clothing,1,0,23-03-2024 12:31,106.180.12.20,-84.966795,-92.601058
100018,119,56.55,Deposit,Morning,Holiday,45,Female,Business,4,261.11,4,Mobile,Android,Chrome,1,Melaniefort,MT,Belarus,0,3,0,0,0,Grocery,1,0,29-03-2024 21:29,151.68.241.11,-80.612428,-128.946719
100019,120,34.42,Transfer,Morning,Weekend,27,Female,Checking,8,218.46,1,Tablet,iOS,Safari,1,Matthewshire,MO,Saint Lucia,1,4,0,0,1,Electronics,0,0,23-03-2024 02:12,123.73.236.137,27.299588,-61.046234
100020,121,94.64,Payment,Morning,Holiday,36,Male,Savings,2,291.89,2,Mobile,iOS,Firefox,0,Connorchester,CT,Belgium,1,8,1,1,0,Electronics,1,1,29-03-2024 02:41,201.42.208.204,74.595334,-152.451523
100021,122,15.02,Withdrawal,Evening,Holiday,34,Female,Business,15,222.71,3,Mobile,Android,Safari,0,Pattersonside,TX,Bhutan,1,11,0,0,0,Travel,1,0,29-03-2024 17:19,98.56.218.112,-62.309612,59.256341
100022,123,34.55,Deposit,Evening,Weekday,18,Male,Business,14,412.71,0,Laptop,iOS,Safari,1,Port Amanda,OK,Gibraltar,1,7,0,1,1,Travel,1,0,25-03-2024 19:12,120.87.147.3,6.559231,140.08835
100023,124,45.63,Transfer,Night,Holiday,30,Female,Savings,2,272.86,0,Tablet,iOS,Edge,0,North Charlestown,FL,Netherlands Antilles,0,13,0,0,0,Travel,1,0,29-03-2024 15:43,201.67.190.212,15.056393,58.045204
100024,125,60.89,Deposit,Evening,Weekday,53,Female,Savings,3,456.41,3,Mobile,Windows,Firefox,0,New Elizabeth,VT,Timor-Leste,0,12,0,0,0,Travel,0,0,25-03-2024 16:07,151.37.25.159,55.339847,-113.935138
100025,126,153.79,Withdrawal,Afternoon,Holiday,64,Male,Business,11,150.26,2,Tablet,iOS,Edge,0,Portertown,ID,Vanuatu,0,1,0,1,1,Clothing,1,0,29-03-2024 17:57,103.218.26.228,57.740374,155.694798
100026,127,22.27,Payment,Night,Holiday,75,Male,Savings,7,100.46,3,Mobile,Linux,Firefox,1,North David,AK,Niger,0,7,1,1,0,Restaurant,0,0,29-03-2024 13:22,139.15.5.236,82.800266,-132.68778
100027,128,72.2,Withdrawal,Evening,Holiday,59,Male,Savings,16,221.44,4,Mobile,Windows,Firefox,0,North Sara,SD,Cyprus,0,13,1,1,0,Grocery,0,0,29-03-2024 04:48,129.23.185.15,69.040491,-120.234823
100028,129,89.75,Payment,Night,Weekend,37,Female,Checking,7,132.65,1,Laptop,iOS,Firefox,1,Lake Monicaburgh,ND,United Arab Emirates,0,3,1,0,1,Grocery,1,0,23-03-2024 14:51,204.73.55.115,26.652289,128.267572
100029,130,4.76,Payment,Night,Weekend,58,Female,Business,11,226.9,3,Laptop,Windows,Safari,0,Hicksport,AL,Guadeloupe,1,4,1,1,1,Clothing,1,0,23-03-2024 06:59,51.235.94.227,15.289173,-3.137165
100030,131,93.53,Payment,Morning,Weekday,57,Male,Business,2,143.33,3,Laptop,iOS,Edge,1,South Abigail,AK,Saint Kitts and Nevis,0,10,1,1,1,Grocery,1,0,25-03-2024 12:06,111.19.91.173,82.666619,-36.158679
100031,132,18.7,Deposit,Night,Holiday,69,Male,Checking,8,440.7,4,Tablet,iOS,Safari,1,East Davidville,MA,Saint Kitts and Nevis,1,11,0,0,1,Electronics,1,0,29-03-2024 04:45,147.99.117.0,-40.509798,169.321365
100032,133,6.73,Withdrawal,Evening,Weekday,23,Male,Checking,7,305.56,2,Mobile,iOS,Chrome,1,New Brendaport,MI,Tokelau,0,13,0,0,0,Grocery,0,1,25-03-2024 04:06,209.106.114.172,86.06567,54.228297
100033,134,297.37,Deposit,Morning,Weekday,40,Female,Business,6,273.92,1,Laptop,Windows,Edge,0,West Wendy,MA,Sudan,0,11,0,1,1,Restaurant,0,0,25-03-2024 19:51,132.47.154.74,18.156715,-95.856449
100034,135,337.06,Withdrawal,Evening,Holiday,59,Female,Business,16,404.49,1,Tablet,Android,Chrome,0,North Haroldside,NH,Senegal,1,7,1,0,1,Grocery,0,0,29-03-2024 19:31,80.195.107.94,-63.853561,109.465741
100035,136,165.23,Transfer,Morning,Weekend,41,Male,Savings,11,108.67,0,Tablet,iOS,Safari,0,Patrickburgh,WY,Mayotte,1,2,0,1,1,Restaurant,1,0,23-03-2024 05:14,216.102.177.195,55.40401,-18.960349
100036,137,36.33,Transfer,Evening,Weekend,69,Male,Savings,3,435.66,1,Mobile,Linux,Chrome,1,Port Joycemouth,WI,Nigeria,1,9,1,0,1,Travel,0,0,23-03-2024 11:23,172.228.92.199,-80.619634,-122.308659
100037,138,10.28,Withdrawal,Morning,Weekday,66,Male,Business,18,267.49,1,Laptop,iOS,Chrome,1,Port Gregory,MN,Reunion,1,11,0,0,0,Clothing,0,1,25-03-2024 16:07,54.235.13.187,62.357328,-163.456463
100038,139,115.28,Withdrawal,Morning,Weekend,22,Female,Savings,9,111.39,1,Laptop,Android,Chrome,0,South Shawnmouth,AL,Turkmenistan,0,5,1,1,0,Electronics,0,0,23-03-2024 14:28,216.211.35.244,-67.790265,-158.915243
100039,140,58.01,Withdrawal,Afternoon,Holiday,49,Female,Savings,17,418.74,1,Laptop,Windows,Edge,0,Lake Debbie,GA,Zambia,1,4,1,1,1,Grocery,0,0,29-03-2024 09:43,13.143.53.31,-44.534947,-117.440891
100040,141,13.02,Withdrawal,Evening,Holiday,63,Male,Savings,2,257.35,4,Laptop,iOS,Firefox,0,Lake Johnview,IA,Saudi Arabia,1,9,1,1,0,Electronics,0,1,29-03-2024 18:40,165.1.125.139,-27.357593,-135.657847
100041,142,68.35,Payment,Night,Weekend,34,Female,Checking,10,322.07,0,Tablet,Linux,Firefox,1,Millerburgh,VA,Saint Vincent and the Grenadines,0,9,1,0,0,Grocery,1,0,23-03-2024 23:40,94.64.3.85,-9.652915,-46.338115
100042,143,3.5,Deposit,Morning,Weekend,28,Male,Business,10,452.12,3,Laptop,Windows,Edge,0,Sarahport,NV,Congo,1,2,1,1,1,Travel,0,0,23-03-2024 19:06,23.52.250.9,-20.630364,-120.31297
100043,144,240.04,Payment,Evening,Weekday,44,Male,Business,17,450.81,0,Laptop,iOS,Firefox,1,Knappville,WA,Saint Pierre and Miquelon,1,9,0,1,1,Restaurant,1,0,25-03-2024 06:45,174.190.247.58,31.833168,143.085055
100044,145,29.95,Deposit,Morning,Weekend,21,Male,Business,8,451.77,2,Tablet,Windows,Safari,1,West Chelseymouth,PA,Australia,0,1,1,1,0,Clothing,1,1,23-03-2024 07:13,30.234.19.193,59.270778,171.683606
100045,146,108.63,Deposit,Afternoon,Weekday,40,Female,Savings,6,237.61,3,Mobile,Windows,Edge,1,Port Shelbyport,OK,Iran,1,1,0,0,1,Clothing,0,0,25-03-2024 15:33,71.59.49.38,83.839216,-112.705802
100046,147,37.35,Deposit,Afternoon,Holiday,40,Male,Savings,11,387.32,0,Mobile,Android,Edge,1,Stevenmouth,ND,Aruba,0,6,1,1,0,Electronics,0,0,29-03-2024 22:41,116.125.59.135,-15.984567,22.161018
100047,148,73.41,Payment,Afternoon,Holiday,66,Male,Checking,5,154.97,0,Tablet,Windows,Firefox,1,Rodriguezchester,AL,Cook Islands,0,13,1,0,1,Restaurant,0,1,29-03-2024 00:28,215.254.176.49,-7.120205,31.27781
100048,149,79.12,Withdrawal,Afternoon,Holiday,74,Female,Checking,10,424.03,0,Tablet,iOS,Edge,0,Port Mary,CA,South Africa,0,1,0,0,0,Clothing,1,0,29-03-2024 07:25,87.31.163.152,71.257206,-135.974066
100049,150,20.44,Payment,Night,Weekend,51,Male,Business,1,203.78,0,Laptop,Android,Chrome,1,North Paulview,AZ,Jamaica,1,6,1,1,0,Electronics,0,0,23-03-2024 08:25,131.73.83.85,-15.314747,79.592756
100050,151,349.28,Payment,Night,Weekend,38,Male,Checking,8,258.76,0,Mobile,Android,Edge,1,East Robert,CO,New Caledonia,1,6,1,1,0,Restaurant,0,0,23-03-2024 09:57,188.215.122.47,26.017579,53.199216
100051,152,149.22,Deposit,Morning,Weekend,39,Male,Checking,4,451.13,0,Mobile,Windows,Edge,0,Hollyville,RI,Tajikistan,0,11,0,0,1,Travel,1,0,23-03-2024 00:36,78.209.41.77,27.065758,-28.967146
100052,153,280.51,Transfer,Evening,Weekday,18,Male,Savings,7,412.58,4,Laptop,Windows,Edge,1,West Andrew,MI,Oman,1,9,1,0,0,Travel,0,0,25-03-2024 17:02,159.145.219.14,63.122323,-179.810775
100053,154,225.22,Transfer,Afternoon,Weekday,49,Female,Business,19,478.63,4,Laptop,iOS,Safari,0,Alvarezmouth,NM,Turkey,0,7,0,1,0,Electronics,1,1,25-03-2024 00:53,42.4.153.158,32.42405,83.606628
100054,155,91.11,Payment,Afternoon,Weekday,79,Female,Business,15,213.56,3,Laptop,Linux,Safari,0,Lake Deborahtown,RI,Saint Kitts and Nevis,0,2,1,0,1,Travel,1,0,25-03-2024 18:27,152.117.169.37,6.716558,-58.776785
100055,156,254.94,Deposit,Night,Holiday,45,Male,Checking,2,117.99,1,Laptop,Android,Chrome,1,South Tracymouth,KY,Armenia,0,1,1,0,1,Grocery,1,0,29-03-2024 17:11,80.81.206.241,-3.835589,-152.759698
100056,157,9.27,Payment,Night,Weekday,35,Female,Savings,17,459.68,0,Tablet,Android,Chrome,0,South Bruce,MN,Sao Tome and Principe,0,3,1,0,1,Grocery,1,0,25-03-2024 00:07,6.107.107.42,-42.923274,-5.994147
100057,158,21.81,Payment,Afternoon,Weekend,24,Female,Checking,16,271.92,1,Tablet,Android,Firefox,1,New William,NM,Mauritania,0,2,0,0,0,Restaurant,1,0,23-03-2024 23:42,51.77.105.102,14.673322,69.43116
100058,159,4.63,Withdrawal,Evening,Weekend,71,Female,Checking,14,450.23,4,Laptop,Windows,Chrome,0,North Justinhaven,UT,Guatemala,1,13,0,1,0,Travel,1,0,23-03-2024 00:56,67.106.22.165,-79.143095,-161.057571
100059,160,39.35,Deposit,Morning,Holiday,55,Female,Business,3,379.43,2,Mobile,Linux,Edge,1,South Matthew,MI,Papua New Guinea,1,8,0,1,0,Clothing,0,0,29-03-2024 18:00,207.125.92.160,37.957915,109.107961
100060,161,49.21,Transfer,Morning,Weekend,23,Female,Savings,19,443.66,0,Mobile,iOS,Firefox,0,North Samuel,CO,United States Minor Outlying Islands,0,10,0,0,1,Electronics,0,0,23-03-2024 09:50,106.240.189.44,62.976695,-34.540405
100061,162,31.66,Transfer,Morning,Weekend,31,Female,Checking,8,344.63,3,Mobile,iOS,Safari,0,Michaelland,HI,Grenada,0,11,0,1,0,Clothing,0,0,23-03-2024 14:59,220.232.123.189,35.78128,-115.711729
100062,163,176.46,Transfer,Morning,Weekend,47,Female,Checking,17,415.57,1,Mobile,Android,Firefox,1,Adamshire,NM,Algeria,0,10,1,1,0,Grocery,1,0,23-03-2024 18:02,23.21.22.247,25.658555,-11.316122
100063,164,44.12,Payment,Evening,Weekday,72,Female,Savings,18,104.15,3,Mobile,Windows,Safari,0,New Rebeccaberg,CT,Zambia,1,4,1,0,0,Travel,1,0,25-03-2024 09:10,151.227.127.218,50.699364,49.850813
100064,165,32.98,Deposit,Evening,Weekday,75,Male,Checking,1,485.73,0,Laptop,Linux,Edge,0,Brownberg,NV,Saint Pierre and Miquelon,1,3,0,1,0,Clothing,0,0,25-03-2024 10:40,65.4.23.154,-33.955367,124.54107
100065,166,78.24,Withdrawal,Evening,Weekend,61,Male,Business,7,131.44,1,Mobile,iOS,Edge,1,Thompsonside,AL,Burkina Faso,1,2,0,1,1,Electronics,0,0,23-03-2024 10:58,81.134.49.1,-1.88908,-43.980431
100066,167,15.19,Transfer,Night,Weekend,63,Male,Checking,4,61.03,1,Tablet,iOS,Safari,0,Andersonhaven,MS,Belgium,1,1,0,0,0,Restaurant,1,0,23-03-2024 11:44,13.20.146.143,27.420993,-38.386258
100067,168,162.05,Deposit,Afternoon,Weekend,31,Male,Business,3,288.86,0,Tablet,Windows,Firefox,1,Jefferyberg,ND,Germany,0,7,0,0,1,Restaurant,1,0,23-03-2024 06:34,56.56.52.51,-34.634741,75.405991
100068,169,7.75,Transfer,Evening,Weekend,61,Male,Business,19,370.36,2,Mobile,iOS,Safari,1,New Jennifer,DE,Denmark,1,2,1,1,1,Electronics,1,0,23-03-2024 15:02,23.236.45.56,-56.26226,55.05038
100069,170,433.41,Withdrawal,Morning,Weekday,58,Male,Business,10,372.39,0,Tablet,Android,Chrome,1,New Rebeccabury,MD,Belize,0,1,0,1,1,Grocery,0,0,25-03-2024 19:03,91.27.181.123,42.549146,-138.343289
100070,171,147.95,Deposit,Evening,Holiday,26,Male,Business,3,202.65,3,Laptop,Windows,Edge,0,West Carlafort,CT,Switzerland,1,6,0,0,0,Electronics,1,0,29-03-2024 19:08,192.116.96.225,25.357527,-71.279527
100071,172,22.15,Payment,Afternoon,Weekend,48,Male,Business,2,389.22,4,Mobile,Android,Safari,1,Port Thomasland,ND,Trinidad and Tobago,1,4,1,1,0,Electronics,0,0,23-03-2024 11:13,78.172.133.120,-1.934931,-42.128242
100072,173,0.55,Payment,Night,Weekday,19,Female,Business,5,429.15,4,Laptop,Android,Firefox,0,Thomasville,NM,Belgium,0,13,0,1,1,Travel,1,0,25-03-2024 16:22,138.173.109.28,27.767644,33.382579
100073,174,168.99,Transfer,Morning,Weekend,35,Male,Checking,17,324.51,4,Tablet,Linux,Safari,0,Jamesmouth,NM,Swaziland,0,3,0,1,1,Clothing,1,0,23-03-2024 18:50,41.9.230.74,-61.431424,31.351861
100074,175,122.71,Transfer,Night,Holiday,22,Male,Savings,5,223.7,1,Mobile,Windows,Firefox,0,Emilybury,WY,Seychelles,1,13,1,1,1,Electronics,1,0,29-03-2024 19:33,217.75.85.24,-34.886526,120.031601
100075,176,130.57,Deposit,Evening,Weekday,43,Female,Checking,14,326.11,1,Laptop,iOS,Edge,1,South Caitlyn,NM,Guadeloupe,0,2,1,1,0,Electronics,0,0,25-03-2024 19:16,148.54.126.29,-55.132568,-49.774339
100076,177,147.52,Withdrawal,Morning,Weekday,40,Female,Savings,16,438,0,Laptop,Android,Firefox,1,Stevenfort,NV,Norfolk Island,0,6,0,0,0,Restaurant,1,0,25-03-2024 07:32,188.111.182.145,6.187101,128.410826
100077,178,7.69,Transfer,Morning,Holiday,29,Male,Checking,14,455.21,1,Laptop,Linux,Edge,1,North Jonathanside,OR,Kuwait,0,14,1,0,1,Clothing,0,0,29-03-2024 18:29,52.157.1.189,-18.956685,104.649721
100078,179,44.39,Deposit,Evening,Holiday,31,Male,Savings,19,64.18,3,Laptop,iOS,Edge,0,North Richardstad,AL,Ecuador,0,4,1,0,1,Restaurant,0,0,29-03-2024 06:42,186.145.252.245,4.585551,51.790872
100079,180,12.32,Withdrawal,Evening,Weekday,77,Male,Checking,13,105.08,0,Laptop,iOS,Firefox,1,South Jeffreyport,KS,Bermuda,1,10,1,0,0,Grocery,0,0,25-03-2024 04:56,155.195.65.52,-23.995811,154.808705
100080,181,198.85,Transfer,Afternoon,Holiday,30,Female,Business,12,52.03,3,Tablet,iOS,Safari,1,Richardburgh,OH,Falkland Islands (Malvinas),1,12,1,1,0,Restaurant,1,0,29-03-2024 14:52,57.93.13.157,-7.274961,-126.294871
100081,182,97.63,Transfer,Evening,Weekend,52,Male,Savings,16,271.6,4,Mobile,iOS,Chrome,0,West Whitneychester,NY,Lesotho,1,13,0,0,1,Grocery,1,0,23-03-2024 04:15,48.131.151.52,-88.20596,53.037012
100082,183,40.18,Deposit,Evening,Holiday,64,Female,Checking,17,246.38,3,Laptop,Linux,Safari,0,Port Brianmouth,KY,Finland,0,6,0,0,0,Grocery,0,0,29-03-2024 04:03,99.234.205.177,64.409374,45.747523
100083,184,6.57,Transfer,Evening,Holiday,32,Male,Business,6,295.61,4,Laptop,Linux,Firefox,0,East Johnside,TX,Western Sahara,0,4,1,1,0,Clothing,1,0,29-03-2024 05:57,92.83.72.238,24.563359,-50.447567
100084,185,37.25,Payment,Morning,Weekday,52,Female,Checking,14,357.64,1,Tablet,iOS,Edge,0,Elliottborough,NM,Russian Federation,1,10,0,0,1,Grocery,1,1,25-03-2024 01:17,178.70.199.237,5.710929,-105.51659
100085,186,39.33,Withdrawal,Afternoon,Holiday,69,Female,Savings,16,214.6,0,Mobile,Windows,Firefox,1,Stanleyland,UT,Croatia,0,12,1,0,1,Electronics,0,1,29-03-2024 21:08,212.181.50.250,5.092622,56.545757
100086,187,130.79,Withdrawal,Morning,Weekday,36,Female,Checking,3,143.86,2,Mobile,Linux,Safari,0,East Lisa,NY,Gambia,0,9,1,0,1,Electronics,0,0,25-03-2024 03:25,81.165.206.208,31.044424,-48.303964
100087,188,101.49,Payment,Evening,Weekend,32,Male,Checking,19,227.67,3,Mobile,iOS,Firefox,1,North Dana,HI,Norfolk Island,0,6,1,0,0,Restaurant,0,0,23-03-2024 13:17,34.253.222.216,44.114752,95.539009
100088,189,218.23,Deposit,Afternoon,Holiday,68,Male,Business,7,54.05,0,Mobile,Linux,Edge,1,Brittanyville,TN,Belarus,1,6,1,1,0,Restaurant,0,1,29-03-2024 06:58,208.192.208.130,52.989406,-42.789334
100089,190,63.91,Payment,Evening,Holiday,25,Female,Business,5,423.25,2,Mobile,Linux,Firefox,1,Gabrielamouth,ID,Vietnam,0,9,1,0,1,Clothing,0,0,29-03-2024 00:06,217.168.105.212,-67.952794,-84.383585
100090,191,12.74,Payment,Morning,Weekday,40,Female,Business,10,222.68,0,Tablet,iOS,Edge,0,East Brendaview,VT,Jordan,1,12,1,0,0,Grocery,0,0,25-03-2024 14:32,95.78.124.88,-62.185275,-94.318518
100091,192,124.91,Withdrawal,Morning,Weekday,30,Female,Savings,9,330.25,2,Laptop,Android,Edge,0,Nathanland,ND,Australia,0,4,0,1,1,Electronics,1,1,25-03-2024 04:28,107.34.32.241,-48.268984,177.027499
100092,193,143.04,Deposit,Evening,Holiday,40,Male,Business,3,196.13,0,Mobile,Windows,Firefox,1,South Samuelfurt,TX,Christmas Island,1,8,1,0,0,Restaurant,1,0,29-03-2024 14:49,22.146.15.144,40.103947,-10.409549
100093,194,82.39,Transfer,Afternoon,Weekday,48,Female,Savings,10,326.67,4,Mobile,Linux,Safari,1,Josechester,MN,Ghana,0,12,1,0,1,Travel,1,0,25-03-2024 05:56,214.60.224.217,-6.084755,-103.244189
100094,195,147.39,Payment,Morning,Holiday,47,Male,Business,16,293.2,2,Laptop,iOS,Safari,0,Clarkview,AL,Saint Martin,0,4,1,0,1,Clothing,0,0,29-03-2024 06:50,201.251.198.2,22.662069,-89.389752
100095,196,68.08,Payment,Evening,Weekend,59,Male,Business,9,143.85,0,Laptop,iOS,Chrome,1,Davismouth,KY,Chad,0,12,1,0,0,Grocery,1,0,23-03-2024 22:58,205.24.190.103,-34.049026,-159.716584
100096,197,73.97,Deposit,Night,Holiday,19,Female,Business,2,331.4,2,Mobile,Android,Chrome,0,Spencerfort,PA,Saint Helena,1,7,1,1,1,Clothing,0,0,29-03-2024 06:16,88.94.49.194,-82.885229,84.776124
100097,198,55.78,Payment,Evening,Weekend,28,Female,Business,6,99.33,4,Tablet,Linux,Safari,1,Jacobshire,NY,Bulgaria,1,9,0,1,0,Grocery,1,0,23-03-2024 03:53,110.200.189.163,-69.112296,-28.716906
100098,199,2.57,Deposit,Evening,Weekend,42,Male,Savings,5,266.49,2,Laptop,Windows,Edge,0,East Kimberly,SC,Russian Federation,0,3,1,0,1,Grocery,1,0,23-03-2024 06:28,76.24.190.209,88.655557,-145.846519
100099,200,11.42,Transfer,Afternoon,Weekday,46,Male,Savings,3,373.95,2,Laptop,Windows,Firefox,1,Wareville,IL,Bolivia,1,5,0,0,1,Clothing,1,0,25-03-2024 06:31,201.156.99.75,-89.693527,140.86103
100100,201,3.19,Deposit,Evening,Weekday,39,Male,Savings,7,297.08,0,Tablet,Android,Firefox,0,New Samanthashire,VA,Belarus,0,1,1,1,1,Restaurant,0,0,25-03-2024 15:28,110.35.80.14,34.980207,-57.538248
100101,202,101.17,Transfer,Night,Weekday,79,Female,Business,15,385.82,3,Laptop,Windows,Firefox,1,Meyerport,AR,Austria,0,4,0,1,0,Restaurant,1,0,25-03-2024 05:32,143.191.162.235,-14.348408,98.342884
100102,203,37.74,Deposit,Evening,Weekday,36,Male,Business,6,172.92,4,Laptop,Windows,Edge,1,Barbarachester,WV,Grenada,0,3,0,0,0,Grocery,1,0,25-03-2024 08:49,35.59.66.152,51.050713,-177.294816
100103,204,71.04,Payment,Night,Holiday,26,Male,Business,4,71.97,0,Mobile,iOS,Safari,1,Browntown,WI,Comoros,0,3,1,1,1,Electronics,0,0,29-03-2024 10:32,184.195.182.187,-5.943976,168.656256
100104,205,238.13,Transfer,Morning,Weekend,58,Female,Savings,13,75.19,1,Laptop,Android,Safari,0,Meganhaven,AR,Syrian Arab Republic,0,6,0,1,1,Grocery,1,0,23-03-2024 23:56,184.235.151.104,25.374383,145.694243
100105,206,28.67,Payment,Evening,Holiday,55,Male,Checking,5,170.93,2,Laptop,Linux,Edge,0,East Danielle,MN,Algeria,0,6,0,0,1,Travel,1,0,29-03-2024 15:07,168.180.22.105,64.191681,-114.944846
100106,207,52.83,Transfer,Afternoon,Weekend,46,Female,Checking,15,233.45,1,Tablet,Android,Edge,0,Lancetown,CT,Haiti,0,13,0,1,0,Restaurant,1,0,23-03-2024 12:49,210.4.212.75,-23.703201,108.506285
100107,208,140.87,Deposit,Evening,Weekend,27,Female,Checking,7,291.88,0,Laptop,Windows,Safari,0,Lake Josephborough,UT,Thailand,0,2,1,0,1,Clothing,1,0,23-03-2024 22:49,116.97.199.108,-57.294049,-135.972919
100108,209,25.98,Deposit,Night,Weekend,39,Female,Savings,7,390.95,3,Tablet,iOS,Firefox,1,Brandiland,RI,Mauritius,1,6,0,0,0,Grocery,0,0,23-03-2024 03:36,27.66.31.103,45.976526,32.941806
100109,210,8.01,Deposit,Night,Holiday,41,Female,Checking,10,427.82,4,Tablet,Linux,Firefox,0,Port Rachel,KS,Pitcairn Islands,1,2,0,0,1,Restaurant,1,0,29-03-2024 08:03,64.36.220.129,12.949216,-175.640137
100110,211,34.21,Withdrawal,Afternoon,Weekday,25,Female,Savings,13,362.16,0,Tablet,Windows,Firefox,0,Michelleview,CA,Japan,1,14,0,0,1,Restaurant,1,1,25-03-2024 18:35,164.29.118.217,-63.233978,-12.041118
